CustomerID,Age,Gender,Geography,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CUST00001,38,Female,France,641,6,122880.86,2,Yes,Yes,161637.17,No
CUST00002,26,Male,Spain,709,8,0.0,2,No,Yes,187563.95,No
CUST00003,36,Male,France,631,3,126766.48,2,Yes,No,157579.77,No
CUST00004,38,Male,Germany,600,5,137815.98,2,Yes,No,188513.48,Yes
CUST00005,55,Male,Spain,594,1,107136.57,2,Yes,Yes,149764.74,No
CUST00006,34,Male,France,662,10,87575.31,1,No,Yes,159347.98,Yes
CUST00007,26,Male,Spain,655,1,28216.45,2,Yes,Yes,78127.76,No
CUST00008,29,Female,Spain,613,4,0.0,1,Yes,Yes,199045.9,No
CUST00009,24,Male,France,668,2,104987.17,2,No,Yes,105934.83,No
CUST00010,47,Male,Spain,612,9,107372.95,2,Yes,No,48425.31,Yes
CUST00011,54,Female,Germany,744,5,13721.94,2,No,Yes,46208.1,No
CUST00012,21,Female,France,682,5,132001.73,1,Yes,Yes,136726.34,No
CUST00013,38,Male,France,726,5,87023.38,2,Yes,Yes,177086.75,No
CUST00014,41,Female,France,673,6,85933.9,2,Yes,No,24652.12,Yes
CUST00015,34,Male,Germany,797,6,117405.16,1,Yes,No,134405.56,Yes
CUST00016,33,Female,France,627,0,29143.0,1,No,Yes,149792.57,Yes
CUST00017,43,Female,France,535,2,61003.01,3,Yes,Yes,122510.81,No
CUST00018,46,Male,Germany,694,8,101816.9,2,Yes,No,85737.69,Yes
CUST00019,27,Male,Spain,711,4,69952.68,2,Yes,No,123102.93,Yes
CUST00020,52,Male,Germany,627,2,151579.79,1,Yes,Yes,133721.34,No
CUST00021,43,Male,France,709,10,58336.13,1,Yes,No,88312.04,No
CUST00022,34,Male,Spain,619,2,121040.6,1,Yes,No,116756.66,Yes
CUST00023,34,Male,Spain,640,0,128605.66,1,No,Yes,119884.36,No
CUST00024,44,Female,France,629,9,88827.06,1,Yes,Yes,72241.14,No
CUST00025,24,Female,Germany,529,9,95543.86,1,Yes,Yes,150895.93,No
CUST00026,66,Female,Germany,810,9,189395.43,2,Yes,Yes,165717.34,No
CUST00027,44,Male,Germany,607,5,124070.04,2,Yes,No,135566.89,No
CUST00028,27,Male,Germany,421,10,95089.32,2,Yes,Yes,87039.3,No
CUST00029,49,Male,France,706,0,145761.93,2,Yes,Yes,124040.4,No
CUST00030,46,Female,Germany,677,3,28578.22,1,Yes,Yes,184213.62,No
CUST00031,37,Female,France,555,2,59402.64,2,No,No,159210.35,No
CUST00032,58,Female,Spain,666,3,92951.63,2,Yes,Yes,85642.16,No
CUST00033,32,Male,Spain,850,2,0.0,1,Yes,Yes,41902.98,No
CUST00034,29,Female,France,725,9,42223.71,3,No,Yes,35020.38,No
CUST00035,31,Female,Spain,690,3,109678.41,2,Yes,No,49930.22,Yes
CUST00036,45,Female,France,581,8,109897.52,1,No,Yes,141015.2,Yes
CUST00037,26,Female,Spain,576,6,31142.87,1,Yes,Yes,100232.93,No
CUST00038,42,Male,Spain,621,10,33168.92,1,Yes,Yes,192745.51,Yes
CUST00039,39,Female,Spain,568,0,53281.2,1,Yes,Yes,96628.67,No
CUST00040,35,Male,France,604,1,30725.08,4,Yes,Yes,15554.02,Yes
CUST00041,26,Female,Spain,737,8,0.0,2,Yes,Yes,178269.76,No
